Features;NSHAP-Value
hypertension:Yes,asthma:No;0.0001
hypertension:Yes,copd:No;0.0018
hypertension:Yes,dementia:No;-0.0045
hypertension:Yes,cancer:No;-0.0004
hyperlipidemia:No,diabetes:Yes;0.0024
hyperlipidemia:No,coronary.artery.disease:No;0.0106
hyperlipidemia:No,chf:No;-0.0023
hyperlipidemia:No,cerebrovascular.disease:No;0.0006
hyperlipidemia:No,hepatitis:No;-0.0004
hyperlipidemia:No,endstage:55.00.renal.disease;0.0004
hyperlipidemia:No,chronic.kidney.disease:No;-0.0018
hyperlipidemia:No,asthma:No;0.0016
hyperlipidemia:No,copd:No;0.0013
hyperlipidemia:No,dementia:No;-0.0015
hyperlipidemia:No,cancer:No;0.0011
diabetes:Yes,coronary.artery.disease:No;-0.005
diabetes:Yes,chf:No;-0.0082
diabetes:Yes,cerebrovascular.disease:No;-0.0019
diabetes:Yes,hepatitis:No;0.0001
diabetes:Yes,endstage:55.00.renal.disease;0.0001
diabetes:Yes,chronic.kidney.disease:No;-0.0025
diabetes:Yes,asthma:No;-0.0006
diabetes:Yes,copd:No;0.0002
diabetes:Yes,dementia:No;-0.0021
diabetes:Yes,cancer:No;0.0009
coronary.artery.disease:No,chf:No;0.0101
coronary.artery.disease:No,cerebrovascular.disease:No;0.0012
coronary.artery.disease:No,hepatitis:No;0.0006
coronary.artery.disease:No,endstage:55.00.renal.disease;0.0005
coronary.artery.disease:No,chronic.kidney.disease:No;0.0029
coronary.artery.disease:No,asthma:No;0.0016
coronary.artery.disease:No,copd:No;0.0029
coronary.artery.disease:No,dementia:No;-0.0015
coronary.artery.disease:No,cancer:No;0.0029
chf:No,cerebrovascular.disease:No;-0.0006
chf:No,hepatitis:No;-0.0002
chf:No,endstage:55.00.renal.disease;-0.0003
chf:No,chronic.kidney.disease:No;-0.0018
chf:No,asthma:No;-0.0007
chf:No,copd:No;-0.0002
chf:No,dementia:No;-0.0015
chf:No,cancer:No;0.0007
cerebrovascular.disease:No,hepatitis:No;0.0002
cerebrovascular.disease:No,endstage:55.00.renal.disease;0.0003
cerebrovascular.disease:No,chronic.kidney.disease:No;0.0005
cerebrovascular.disease:No,asthma:No;0.0001
cerebrovascular.disease:No,copd:No;0.0004
cerebrovascular.disease:No,dementia:No;-0.0003
cerebrovascular.disease:No,cancer:No;0.0001
hepatitis:No,endstage:55.00.renal.disease;-0.0001
hepatitis:No,chronic.kidney.disease:No;0.0001
hepatitis:No,asthma:No;-0.0001
hepatitis:No,copd:No;0.0001
hepatitis:No,dementia:No;-0.0002
hepatitis:No,cancer:No;0.0001
endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0008
endstage:55.00.renal.disease,asthma:No;0.0002
endstage:55.00.renal.disease,copd:No;0.0001
endstage:55.00.renal.disease,dementia:No;-0.0003
endstage:55.00.renal.disease,cancer:No;0.0002
chronic.kidney.disease:No,asthma:No;-0.0007
chronic.kidney.disease:No,copd:No;-0.0009
chronic.kidney.disease:No,dementia:No;-0.0001
chronic.kidney.disease:No,cancer:No;-0.0005
asthma:No,copd:No;0.0025
asthma:No,dementia:No;-0.0001
asthma:No,cancer:No;0.0002
copd:No,dementia:No;-0.0009
copd:No,cancer:No;-0.0003
dementia:No,cancer:No;-0.0008
age:55.00,race:black,sex:male;0.0044
age:55.00,race:black,hypertension:Yes;0.0746
age:55.00,race:black,hyperlipidemia:No;0.0085
age:55.00,race:black,diabetes:Yes;0.0646
age:55.00,race:black,coronary.artery.disease:No;-0.0169
age:55.00,race:black,chf:No;-0.0006
age:55.00,race:black,cerebrovascular.disease:No;-0.0038
age:55.00,race:black,hepatitis:No;-0.0006
age:55.00,race:black,endstage:55.00.renal.disease;-0.0002
age:55.00,race:black,chronic.kidney.disease:No;-0.003
age:55.00,race:black,asthma:No;-0.0001
age:55.00,race:black,copd:No;-0.0022
age:55.00,race:black,dementia:No;-0.0011
age:55.00,race:black,cancer:No;-0.0024
age:55.00,sex:male,hypertension:Yes;0.0064
age:55.00,sex:male,hyperlipidemia:No;0.0095
age:55.00,sex:male,diabetes:Yes;0.0245
age:55.00,sex:male,coronary.artery.disease:No;-0.0071
age:55.00,sex:male,chf:No;0.0091
age:55.00,sex:male,cerebrovascular.disease:No;0.0001
age:55.00,sex:male,hepatitis:No;0.0003
age:55.00,sex:male,endstage:55.00.renal.disease;0.0011
age:55.00,sex:male,chronic.kidney.disease:No;-0.0013
age:55.00,sex:male,asthma:No;0.0009
age:55.00,sex:male,copd:No;-0.0003
age:55.00,sex:male,dementia:No;-0.008
age:55.00,sex:male,cancer:No;False
age:55.00,hypertension:Yes,hyperlipidemia:No;0.0032
age:55.00,hypertension:Yes,diabetes:Yes;-0.0229
age:55.00,hypertension:Yes,coronary.artery.disease:No;0.0129
age:55.00,hypertension:Yes,chf:No;0.0033
age:55.00,hypertension:Yes,cerebrovascular.disease:No;0.0003
age:55.00,hypertension:Yes,hepatitis:No;0.0003
age:55.00,hypertension:Yes,endstage:55.00.renal.disease;0.0022
age:55.00,hypertension:Yes,chronic.kidney.disease:No;0.0001
age:55.00,hypertension:Yes,asthma:No;0.003
age:55.00,hypertension:Yes,copd:No;0.0004
age:55.00,hypertension:Yes,dementia:No;0.0027
age:55.00,hypertension:Yes,cancer:No;0.0032
age:55.00,hyperlipidemia:No,diabetes:Yes;-0.0031
age:55.00,hyperlipidemia:No,coronary.artery.disease:No;0.0362
age:55.00,hyperlipidemia:No,chf:No;-0.0014
age:55.00,hyperlipidemia:No,cerebrovascular.disease:No;-0.0013
age:55.00,hyperlipidemia:No,hepatitis:No;0.0002
age:55.00,hyperlipidemia:No,endstage:55.00.renal.disease;-0.0001
age:55.00,hyperlipidemia:No,chronic.kidney.disease:No;0.0015
age:55.00,hyperlipidemia:No,asthma:No;-0.001
age:55.00,hyperlipidemia:No,copd:No;-0.0011
age:55.00,hyperlipidemia:No,dementia:No;0.0009
age:55.00,hyperlipidemia:No,cancer:No;-0.0004
age:55.00,diabetes:Yes,coronary.artery.disease:No;0.004
age:55.00,diabetes:Yes,chf:No;0.0074
age:55.00,diabetes:Yes,cerebrovascular.disease:No;0.0009
age:55.00,diabetes:Yes,hepatitis:No;0.0006
age:55.00,diabetes:Yes,endstage:55.00.renal.disease;0.0019
age:55.00,diabetes:Yes,chronic.kidney.disease:No;0.0008
age:55.00,diabetes:Yes,asthma:No;0.0021
age:55.00,diabetes:Yes,copd:No;0.0015
age:55.00,diabetes:Yes,dementia:No;-0.005
age:55.00,diabetes:Yes,cancer:No;-0.0045
age:55.00,coronary.artery.disease:No,chf:No;0.0008
age:55.00,coronary.artery.disease:No,cerebrovascular.disease:No;-0.0007
age:55.00,coronary.artery.disease:No,hepatitis:No;-0.0001
age:55.00,coronary.artery.disease:No,endstage:55.00.renal.disease;-0.0014
age:55.00,coronary.artery.disease:No,chronic.kidney.disease:No;-0.0032
age:55.00,coronary.artery.disease:No,asthma:No;-0.0009
age:55.00,coronary.artery.disease:No,copd:No;-0.0042
age:55.00,coronary.artery.disease:No,dementia:No;0.0021
age:55.00,coronary.artery.disease:No,cancer:No;0.0011
age:55.00,chf:No,cerebrovascular.disease:No;0.0017
age:55.00,chf:No,hepatitis:No;0.0003
age:55.00,chf:No,endstage:55.00.renal.disease;-0.0004
age:55.00,chf:No,chronic.kidney.disease:No;0.0022
age:55.00,chf:No,asthma:No;0.0015
age:55.00,chf:No,copd:No;-0.0006
age:55.00,chf:No,dementia:No;0.0026
age:55.00,chf:No,cancer:No;0.0009
age:55.00,cerebrovascular.disease:No,hepatitis:No;-0.0001
age:55.00,cerebrovascular.disease:No,endstage:55.00.renal.disease;-0.0002
age:55.00,cerebrovascular.disease:No,chronic.kidney.disease:No;-0.0001
age:55.00,cerebrovascular.disease:No,asthma:No;-0.0001
age:55.00,cerebrovascular.disease:No,copd:No;False
age:55.00,cerebrovascular.disease:No,dementia:No;0.0012
age:55.00,cerebrovascular.disease:No,cancer:No;0.0002
age:55.00,hepatitis:No,endstage:55.00.renal.disease;False
age:55.00,hepatitis:No,chronic.kidney.disease:No;False
age:55.00,hepatitis:No,asthma:No;0.0002
age:55.00,hepatitis:No,copd:No;-0.0001
age:55.00,hepatitis:No,dementia:No;0.0002
age:55.00,hepatitis:No,cancer:No;0.0001
age:55.00,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0001
age:55.00,endstage:55.00.renal.disease,asthma:No;-0.0001
age:55.00,endstage:55.00.renal.disease,copd:No;-0.0001
age:55.00,endstage:55.00.renal.disease,dementia:No;0.0001
age:55.00,endstage:55.00.renal.disease,cancer:No;-0.0003
age:55.00,chronic.kidney.disease:No,asthma:No;0.0003
age:55.00,chronic.kidney.disease:No,copd:No;0.0007
age:55.00,chronic.kidney.disease:No,dementia:No;0.0002
age:55.00,chronic.kidney.disease:No,cancer:No;False
age:55.00,asthma:No,copd:No;-0.0011
age:55.00,asthma:No,dementia:No;0.0002
age:55.00,asthma:No,cancer:No;0.0003
age:55.00,copd:No,dementia:No;0.0009
age:55.00,copd:No,cancer:No;0.0009
age:55.00,dementia:No,cancer:No;0.0006
race:black,sex:male,hypertension:Yes;-0.0131
race:black,sex:male,hyperlipidemia:No;0.0057
race:black,sex:male,diabetes:Yes;0.0063
race:black,sex:male,coronary.artery.disease:No;0.0016
race:black,sex:male,chf:No;0.0035
race:black,sex:male,cerebrovascular.disease:No;-0.0034
race:black,sex:male,hepatitis:No;0.0001
race:black,sex:male,endstage:55.00.renal.disease;False
race:black,sex:male,chronic.kidney.disease:No;-0.0013
race:black,sex:male,asthma:No;-0.0014
race:black,sex:male,copd:No;0.0002
race:black,sex:male,dementia:No;-0.0032
race:black,sex:male,cancer:No;0.0011
race:black,hypertension:Yes,hyperlipidemia:No;0.0003
race:black,hypertension:Yes,diabetes:Yes;0.0268
race:black,hypertension:Yes,coronary.artery.disease:No;-0.0072
race:black,hypertension:Yes,chf:No;-0.0009
race:black,hypertension:Yes,cerebrovascular.disease:No;0.0001
race:black,hypertension:Yes,hepatitis:No;-0.0013
race:black,hypertension:Yes,endstage:55.00.renal.disease;False
race:black,hypertension:Yes,chronic.kidney.disease:No;-0.0008
race:black,hypertension:Yes,asthma:No;0.0004
race:black,hypertension:Yes,copd:No;-0.0011
race:black,hypertension:Yes,dementia:No;-0.0014
race:black,hypertension:Yes,cancer:No;0.0015
race:black,hyperlipidemia:No,diabetes:Yes;0.0001
race:black,hyperlipidemia:No,coronary.artery.disease:No;-0.0079
race:black,hyperlipidemia:No,chf:No;-0.0035
race:black,hyperlipidemia:No,cerebrovascular.disease:No;-0.0008
race:black,hyperlipidemia:No,hepatitis:No;0.0002
race:black,hyperlipidemia:No,endstage:55.00.renal.disease;0.0005
race:black,hyperlipidemia:No,chronic.kidney.disease:No;0.0005
race:black,hyperlipidemia:No,asthma:No;-0.0002
race:black,hyperlipidemia:No,copd:No;-0.0002
race:black,hyperlipidemia:No,dementia:No;-0.0013
race:black,hyperlipidemia:No,cancer:No;0.0001
race:black,diabetes:Yes,coronary.artery.disease:No;-0.0132
race:black,diabetes:Yes,chf:No;0.0021
race:black,diabetes:Yes,cerebrovascular.disease:No;-0.0005
race:black,diabetes:Yes,hepatitis:No;-0.0005
race:black,diabetes:Yes,endstage:55.00.renal.disease;-0.0009
race:black,diabetes:Yes,chronic.kidney.disease:No;-0.0004
race:black,diabetes:Yes,asthma:No;0.0011
race:black,diabetes:Yes,copd:No;-0.0015
race:black,diabetes:Yes,dementia:No;0.0004
race:black,diabetes:Yes,cancer:No;-0.0018
race:black,coronary.artery.disease:No,chf:No;-0.0094
race:black,coronary.artery.disease:No,cerebrovascular.disease:No;-0.0021
race:black,coronary.artery.disease:No,hepatitis:No;-0.0001
race:black,coronary.artery.disease:No,endstage:55.00.renal.disease;-0.0002
race:black,coronary.artery.disease:No,chronic.kidney.disease:No;-0.001
race:black,coronary.artery.disease:No,asthma:No;-0.0024
race:black,coronary.artery.disease:No,copd:No;-0.0026
race:black,coronary.artery.disease:No,dementia:No;-0.0038
race:black,coronary.artery.disease:No,cancer:No;-0.0031
race:black,chf:No,cerebrovascular.disease:No;-0.0001
race:black,chf:No,hepatitis:No;False
race:black,chf:No,endstage:55.00.renal.disease;0.0014
race:black,chf:No,chronic.kidney.disease:No;-0.0008
race:black,chf:No,asthma:No;-0.0004
race:black,chf:No,copd:No;0.0005
race:black,chf:No,dementia:No;-0.0001
race:black,chf:No,cancer:No;0.0005
race:black,cerebrovascular.disease:No,hepatitis:No;False
race:black,cerebrovascular.disease:No,endstage:55.00.renal.disease;0.0001
race:black,cerebrovascular.disease:No,chronic.kidney.disease:No;-0.0004
race:black,cerebrovascular.disease:No,asthma:No;-0.0001
race:black,cerebrovascular.disease:No,copd:No;0.0002
race:black,cerebrovascular.disease:No,dementia:No;0.0005
race:black,cerebrovascular.disease:No,cancer:No;0.0001
race:black,hepatitis:No,endstage:55.00.renal.disease;0.0001
race:black,hepatitis:No,chronic.kidney.disease:No;False
race:black,hepatitis:No,asthma:No;0.0001
race:black,hepatitis:No,copd:No;False
race:black,hepatitis:No,dementia:No;0.0001
race:black,hepatitis:No,cancer:No;0.0001
race:black,endstage:55.00.renal.disease,chronic.kidney.disease:No;-0.0004
race:black,endstage:55.00.renal.disease,asthma:No;0.0001
race:black,endstage:55.00.renal.disease,copd:No;False
race:black,endstage:55.00.renal.disease,dementia:No;0.0001
race:black,endstage:55.00.renal.disease,cancer:No;0.0001
race:black,chronic.kidney.disease:No,asthma:No;0.0001
race:black,chronic.kidney.disease:No,copd:No;0.0002
race:black,chronic.kidney.disease:No,dementia:No;0.0001
race:black,chronic.kidney.disease:No,cancer:No;0.0004
race:black,asthma:No,copd:No;0.0001
race:black,asthma:No,dementia:No;0.0001
race:black,asthma:No,cancer:No;-0.0001
race:black,copd:No,dementia:No;0.0001
race:black,copd:No,cancer:No;0.0006
race:black,dementia:No,cancer:No;0.0006
sex:male,hypertension:Yes,hyperlipidemia:No;0.0002
sex:male,hypertension:Yes,diabetes:Yes;-0.0017
sex:male,hypertension:Yes,coronary.artery.disease:No;0.0007
sex:male,hypertension:Yes,chf:No;-0.0001
sex:male,hypertension:Yes,cerebrovascular.disease:No;0.0007
sex:male,hypertension:Yes,hepatitis:No;-0.0003
sex:male,hypertension:Yes,endstage:55.00.renal.disease;False
sex:male,hypertension:Yes,chronic.kidney.disease:No;0.0001
sex:male,hypertension:Yes,asthma:No;0.0006
sex:male,hypertension:Yes,copd:No;0.0006
sex:male,hypertension:Yes,dementia:No;0.0011
sex:male,hypertension:Yes,cancer:No;-0.0008
sex:male,hyperlipidemia:No,diabetes:Yes;-0.005
sex:male,hyperlipidemia:No,coronary.artery.disease:No;-0.0064
sex:male,hyperlipidemia:No,chf:No;0.0009
sex:male,hyperlipidemia:No,cerebrovascular.disease:No;-0.0002
sex:male,hyperlipidemia:No,hepatitis:No;False
sex:male,hyperlipidemia:No,endstage:55.00.renal.disease;0.0002
sex:male,hyperlipidemia:No,chronic.kidney.disease:No;-0.0014
sex:male,hyperlipidemia:No,asthma:No;-0.0008
sex:male,hyperlipidemia:No,copd:No;0.0011
sex:male,hyperlipidemia:No,dementia:No;0.0006
sex:male,hyperlipidemia:No,cancer:No;0.0004
sex:male,diabetes:Yes,coronary.artery.disease:No;-0.0036
sex:male,diabetes:Yes,chf:No;-0.0009
sex:male,diabetes:Yes,cerebrovascular.disease:No;0.0004
sex:male,diabetes:Yes,hepatitis:No;-0.0003
sex:male,diabetes:Yes,endstage:55.00.renal.disease;-0.0003
sex:male,diabetes:Yes,chronic.kidney.disease:No;0.0001
sex:male,diabetes:Yes,asthma:No;False
sex:male,diabetes:Yes,copd:No;-0.0017
sex:male,diabetes:Yes,dementia:No;-0.0088
sex:male,diabetes:Yes,cancer:No;-0.0043
sex:male,coronary.artery.disease:No,chf:No;0.003
sex:male,coronary.artery.disease:No,cerebrovascular.disease:No;-0.0005
sex:male,coronary.artery.disease:No,hepatitis:No;-0.0001
sex:male,coronary.artery.disease:No,endstage:55.00.renal.disease;-0.0005
sex:male,coronary.artery.disease:No,chronic.kidney.disease:No;-0.0012
sex:male,coronary.artery.disease:No,asthma:No;0.0002
sex:male,coronary.artery.disease:No,copd:No;-0.0005
sex:male,coronary.artery.disease:No,dementia:No;-0.0004
sex:male,coronary.artery.disease:No,cancer:No;-0.0022
sex:male,chf:No,cerebrovascular.disease:No;-0.0003
sex:male,chf:No,hepatitis:No;0.0002
sex:male,chf:No,endstage:55.00.renal.disease;-0.0003
sex:male,chf:No,chronic.kidney.disease:No;0.0002
sex:male,chf:No,asthma:No;0.0005
sex:male,chf:No,copd:No;0.0006
sex:male,chf:No,dementia:No;0.0003
sex:male,chf:No,cancer:No;-0.0001
sex:male,cerebrovascular.disease:No,hepatitis:No;-0.0001
sex:male,cerebrovascular.disease:No,endstage:55.00.renal.disease;False
sex:male,cerebrovascular.disease:No,chronic.kidney.disease:No;-0.0003
sex:male,cerebrovascular.disease:No,asthma:No;False
sex:male,cerebrovascular.disease:No,copd:No;-0.0003
sex:male,cerebrovascular.disease:No,dementia:No;0.0001
sex:male,cerebrovascular.disease:No,cancer:No;-0.0002
sex:male,hepatitis:No,endstage:55.00.renal.disease;False
sex:male,hepatitis:No,chronic.kidney.disease:No;-0.0001
sex:male,hepatitis:No,asthma:No;0.0001
sex:male,hepatitis:No,copd:No;False
sex:male,hepatitis:No,dementia:No;False
sex:male,hepatitis:No,cancer:No;-0.0001
sex:male,endstage:55.00.renal.disease,chronic.kidney.disease:No;-0.0002
sex:male,endstage:55.00.renal.disease,asthma:No;-0.0003
sex:male,endstage:55.00.renal.disease,copd:No;0.0001
sex:male,endstage:55.00.renal.disease,dementia:No;False
sex:male,endstage:55.00.renal.disease,cancer:No;False
sex:male,chronic.kidney.disease:No,asthma:No;0.0002
sex:male,chronic.kidney.disease:No,copd:No;0.0001
sex:male,chronic.kidney.disease:No,dementia:No;False
sex:male,chronic.kidney.disease:No,cancer:No;0.0004
sex:male,asthma:No,copd:No;-0.0003
sex:male,asthma:No,dementia:No;0.0004
sex:male,asthma:No,cancer:No;0.0001
sex:male,copd:No,dementia:No;0.0007
sex:male,copd:No,cancer:No;0.0008
sex:male,dementia:No,cancer:No;0.0008
hypertension:Yes,hyperlipidemia:No,diabetes:Yes;0.0039
hypertension:Yes,hyperlipidemia:No,coronary.artery.disease:No;-0.0003
hypertension:Yes,hyperlipidemia:No,chf:No;-0.0005
hypertension:Yes,hyperlipidemia:No,cerebrovascular.disease:No;-0.0005
hypertension:Yes,hyperlipidemia:No,hepatitis:No;False
hypertension:Yes,hyperlipidemia:No,endstage:55.00.renal.disease;False
hypertension:Yes,hyperlipidemia:No,chronic.kidney.disease:No;-0.0003
hypertension:Yes,hyperlipidemia:No,asthma:No;0.0003
hypertension:Yes,hyperlipidemia:No,copd:No;0.0003
hypertension:Yes,hyperlipidemia:No,dementia:No;False
hypertension:Yes,hyperlipidemia:No,cancer:No;False
hypertension:Yes,diabetes:Yes,coronary.artery.disease:No;0.0081
hypertension:Yes,diabetes:Yes,chf:No;0.0046
hypertension:Yes,diabetes:Yes,cerebrovascular.disease:No;0.0017
hypertension:Yes,diabetes:Yes,hepatitis:No;0.0001
hypertension:Yes,diabetes:Yes,endstage:55.00.renal.disease;0.0003
hypertension:Yes,diabetes:Yes,chronic.kidney.disease:No;0.0005
hypertension:Yes,diabetes:Yes,asthma:No;0.0021
hypertension:Yes,diabetes:Yes,copd:No;0.0005
hypertension:Yes,diabetes:Yes,dementia:No;0.0019
hypertension:Yes,diabetes:Yes,cancer:No;0.003
hypertension:Yes,coronary.artery.disease:No,chf:No;-0.0028
hypertension:Yes,coronary.artery.disease:No,cerebrovascular.disease:No;-0.0007
hypertension:Yes,coronary.artery.disease:No,hepatitis:No;False
hypertension:Yes,coronary.artery.disease:No,endstage:55.00.renal.disease;0.0001
hypertension:Yes,coronary.artery.disease:No,chronic.kidney.disease:No;0.0013
hypertension:Yes,coronary.artery.disease:No,asthma:No;0.0002
hypertension:Yes,coronary.artery.disease:No,copd:No;-0.0003
hypertension:Yes,coronary.artery.disease:No,dementia:No;-0.0002
hypertension:Yes,coronary.artery.disease:No,cancer:No;-0.0014
hypertension:Yes,chf:No,cerebrovascular.disease:No;0.0001
hypertension:Yes,chf:No,hepatitis:No;0.0001
hypertension:Yes,chf:No,endstage:55.00.renal.disease;0.0003
hypertension:Yes,chf:No,chronic.kidney.disease:No;0.0001
hypertension:Yes,chf:No,asthma:No;False
hypertension:Yes,chf:No,copd:No;-0.0002
hypertension:Yes,chf:No,dementia:No;-0.0009
hypertension:Yes,chf:No,cancer:No;0.0005
hypertension:Yes,cerebrovascular.disease:No,hepatitis:No;False
hypertension:Yes,cerebrovascular.disease:No,endstage:55.00.renal.disease;0.0001
hypertension:Yes,cerebrovascular.disease:No,chronic.kidney.disease:No;False
hypertension:Yes,cerebrovascular.disease:No,asthma:No;False
hypertension:Yes,cerebrovascular.disease:No,copd:No;False
hypertension:Yes,cerebrovascular.disease:No,dementia:No;-0.0002
hypertension:Yes,cerebrovascular.disease:No,cancer:No;False
hypertension:Yes,hepatitis:No,endstage:55.00.renal.disease;0.0003
hypertension:Yes,hepatitis:No,chronic.kidney.disease:No;False
hypertension:Yes,hepatitis:No,asthma:No;False
hypertension:Yes,hepatitis:No,copd:No;False
hypertension:Yes,hepatitis:No,dementia:No;False
hypertension:Yes,hepatitis:No,cancer:No;False
hypertension:Yes,endstage:55.00.renal.disease,chronic.kidney.disease:No;False
hypertension:Yes,endstage:55.00.renal.disease,asthma:No;False
hypertension:Yes,endstage:55.00.renal.disease,copd:No;False
hypertension:Yes,endstage:55.00.renal.disease,dementia:No;False
hypertension:Yes,endstage:55.00.renal.disease,cancer:No;-0.0001
hypertension:Yes,chronic.kidney.disease:No,asthma:No;False
hypertension:Yes,chronic.kidney.disease:No,copd:No;0.0003
hypertension:Yes,chronic.kidney.disease:No,dementia:No;False
hypertension:Yes,chronic.kidney.disease:No,cancer:No;0.0001
hypertension:Yes,asthma:No,copd:No;0.0001
hypertension:Yes,asthma:No,dementia:No;-0.0001
hypertension:Yes,asthma:No,cancer:No;False
hypertension:Yes,copd:No,dementia:No;-0.0001
hypertension:Yes,copd:No,cancer:No;0.0003
hypertension:Yes,dementia:No,cancer:No;-0.0001
hyperlipidemia:No,diabetes:Yes,coronary.artery.disease:No;0.0068
hyperlipidemia:No,diabetes:Yes,chf:No;0.0036
hyperlipidemia:No,diabetes:Yes,cerebrovascular.disease:No;0.001
hyperlipidemia:No,diabetes:Yes,hepatitis:No;0.0001
hyperlipidemia:No,diabetes:Yes,endstage:55.00.renal.disease;-0.0003
hyperlipidemia:No,diabetes:Yes,chronic.kidney.disease:No;0.0003
hyperlipidemia:No,diabetes:Yes,asthma:No;0.0005
hyperlipidemia:No,diabetes:Yes,copd:No;0.0003
hyperlipidemia:No,diabetes:Yes,dementia:No;0.0028
hyperlipidemia:No,diabetes:Yes,cancer:No;0.0006
hyperlipidemia:No,coronary.artery.disease:No,chf:No;0.0002
hyperlipidemia:No,coronary.artery.disease:No,cerebrovascular.disease:No;0.0008
hyperlipidemia:No,coronary.artery.disease:No,hepatitis:No;0.0001
hyperlipidemia:No,coronary.artery.disease:No,endstage:55.00.renal.disease;-0.0007
hyperlipidemia:No,coronary.artery.disease:No,chronic.kidney.disease:No;-0.0011
hyperlipidemia:No,coronary.artery.disease:No,asthma:No;-0.0014
hyperlipidemia:No,coronary.artery.disease:No,copd:No;-0.0002
hyperlipidemia:No,coronary.artery.disease:No,dementia:No;0.0008
hyperlipidemia:No,coronary.artery.disease:No,cancer:No;0.0005
hyperlipidemia:No,chf:No,cerebrovascular.disease:No;0.0001
hyperlipidemia:No,chf:No,hepatitis:No;0.0001
hyperlipidemia:No,chf:No,endstage:55.00.renal.disease;0.0001
hyperlipidemia:No,chf:No,chronic.kidney.disease:No;-0.0003
hyperlipidemia:No,chf:No,asthma:No;-0.0009
hyperlipidemia:No,chf:No,copd:No;0.001
hyperlipidemia:No,chf:No,dementia:No;-0.0007
hyperlipidemia:No,chf:No,cancer:No;-0.0004
hyperlipidemia:No,cerebrovascular.disease:No,hepatitis:No;False
hyperlipidemia:No,cerebrovascular.disease:No,endstage:55.00.renal.disease;False
hyperlipidemia:No,cerebrovascular.disease:No,chronic.kidney.disease:No;-0.0003
hyperlipidemia:No,cerebrovascular.disease:No,asthma:No;0.0001
hyperlipidemia:No,cerebrovascular.disease:No,copd:No;0.0002
hyperlipidemia:No,cerebrovascular.disease:No,dementia:No;-0.0003
hyperlipidemia:No,cerebrovascular.disease:No,cancer:No;-0.0002
hyperlipidemia:No,hepatitis:No,endstage:55.00.renal.disease;False
hyperlipidemia:No,hepatitis:No,chronic.kidney.disease:No;False
hyperlipidemia:No,hepatitis:No,asthma:No;False
hyperlipidemia:No,hepatitis:No,copd:No;False
hyperlipidemia:No,hepatitis:No,dementia:No;0.0001
hyperlipidemia:No,hepatitis:No,cancer:No;0.0002
hyperlipidemia:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0001
hyperlipidemia:No,endstage:55.00.renal.disease,asthma:No;0.0001
hyperlipidemia:No,endstage:55.00.renal.disease,copd:No;0.0001
hyperlipidemia:No,endstage:55.00.renal.disease,dementia:No;False
